MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2023 to Jul 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Vietnamese Dong
,,12,1.4027,1.6852,1.3537,0.005289
,,13,1.4069,1.6846,1.3502,0.005301
,,14,1.4057,1.6879,1.3440,0.005287
,,17,1.4051,1.6858,1.3388,0.005264
,,18,1.4054,1.6928,1.3433,0.005253
,,19,1.4025,1.6931,1.3420,0.005262
,,20,1.3978,1.6874,1.3399,0.005248
,,21,1.4012,1.6903,1.3342,0.005234
,,24,1.4010,1.6890,1.3318,0.005227
,,25,1.4019,1.6910,1.3385,0.005253
,,26,1.4052,1.6922,1.3378,0.005235
,,27,1.4038,1.6977,1.3414,0.005249
,,28,1.4014,1.6978,1.3490,0.005279
,Mar,03,1.4060,1.7010,1.3497,0.005270
,,04,1.4108,1.7084,1.3465,0.005263
,,05,1.4229,1.7136,1.3401,0.005247
,,06,1.4376,1.7171,1.3325,0.005234
,,07,1.4405,1.7180,1.3331,0.005225
,,10,1.4427,1.7197,1.3320,0.005218
,,11,1.4471,1.7184,1.3332,0.005232
,,12,1.4521,1.7221,1.3325,0.005233
,,13,1.4500,1.7262,1.3323,0.005230
,,14,1.4483,1.7285,1.3354,0.005234
,,17,1.4518,1.7255,1.3338,0.005223
,,18,1.4533,1.7285,1.3322,0.005219
,,19,1.4563,1.7300,1.3314,0.005214
,,20,1.4523,1.7316,1.3312,0.005208
,,21,1.4472,1.7293,1.3357,0.005222
,,24,1.4469,1.7267,1.3372,0.005214
,,25,1.4465,1.7306,1.3389,0.005223
,,26,1.4429,1.7303,1.3375,0.005226
,,27,1.4431,1.7288,1.3389,0.005234
,,28,1.4473,1.7361,1.3410,0.005240
,Apr,01,1.4536,1.7364,1.3427,0.005239
,,02,1.4500,1.7355,1.3432,0.005238
,,03,1.4665,1.7561,1.3437,0.005206
,,04,1.4774,1.7453,1.3317,0.005168
,,07,1.4747,1.7354,1.3468,0.005220
,,08,1.4786,1.7232,1.3487,0.005199
,,09,1.4897,1.7327,1.3517,0.005193
,,10,1.4722,1.7222,1.3407,0.005183
,,11,1.5038,1.7286,1.3263,0.005159
,,14,1.4971,1.7255,1.3164,0.005096
,,15,1.4921,1.7355,1.3150,0.005074
,,16,1.4922,1.7448,1.3154,0.005085
,,17,1.4928,1.7358,1.3135,0.005077
,,21,1.5015,1.7448,1.3042,0.005036
,,22,1.5051,1.7491,1.3048,0.005036
,,23,1.4933,1.7444,1.3122,0.005051
,,24,1.4912,1.7452,1.3152,0.005054
,,25,1.4882,1.7461,1.3143,0.005046
,,28,1.4933,1.7482,1.3149,0.005060
,,29,1.4908,1.7554,1.3088,0.005038
,,30,1.4867,1.7502,1.3077,0.005028
,May,02,1.4775,1.7384,1.3061,0.005022
,,05,1.4649,1.7178,1.2927,0.004975
,,06,1.4634,1.7194,1.2934,0.004979
,,07,1.4652,1.7235,1.2914,0.004975
,,08,1.4662,1.7274,1.2944,0.004985
,,09,1.4590,1.7203,1.3001,0.005005
,,13,1.4493,1.7207,1.3037,0.005025
,,14,1.4569,1.7317,1.3010,0.005013
,,15,1.4542,1.7248,1.2987,0.005008
,,16,1.4504,1.7240,1.2950,0.004995
,,19,1.4519,1.7266,1.2985,0.005004
,,20,1.4561,1.7310,1.2948,0.004987
,,21,1.4631,1.7336,1.2908,0.004972
,,22,1.4611,1.7308,1.2892,0.004962
,,23,1.4590,1.7345,1.2898,0.004968
,,26,1.4627,1.7405,1.2818,0.004946
,,27,1.4627,1.7420,1.2836,0.004954
,,28,1.4584,1.7389,1.2897,0.004973
,,29,1.4552,1.7382,1.2937,0.004970
,,30,1.4625,1.7359,1.2885,0.004956
,Jun,02,1.4663,1.7400,1.2904,0.004958
,,03,1.4706,1.7408,1.2878,0.004943
,,04,1.4673,1.7446,1.2907,0.004951
,,05,1.4690,1.7438,1.2875,0.004933
,,06,1.4700,1.7439,1.2850,0.004929
,,09,1.4686,1.7439,1.2869,0.004942
,,10,1.4677,1.7433,1.2872,0.004943
,,11,1.4689,1.7348,1.2868,0.004944
,,12,1.4759,1.7403,1.2813,0.004923
,,13,1.4796,1.7380,1.2824,0.004918
,,16,1.4795,1.7371,1.2833,0.004918
,,17,1.4814,1.7392,1.2812,0.004915
,,18,1.4776,1.7265,1.2850,0.004926
,,19,1.4759,1.7257,1.2871,0.004926
,,20,1.4814,1.7342,1.2850,0.004917
,,23,1.4835,1.7318,1.2907,0.004932
,,24,1.4890,1.7399,1.2832,0.004903
,,25,1.4872,1.7431,1.2804,0.004897
,,26,1.4926,1.7501,1.2773,0.004890
,,27,1.4926,1.7529,1.2758,0.004890
,,30,1.4943,1.7494,1.2758,0.004890
,Jul,01,1.5002,1.7485,1.2728,0.004868
,,02,1.5023,1.7499,1.2731,0.004865
,,03,1.5020,1.7360,1.2741,0.004860
,,04,1.5004,1.7410,1.2748,0.004866
,,07,1.5028,1.7399,1.2769,0.004883
,,08,1.5013,1.7424,1.2783,0.004895
,,09,1.5003,1.7393,1.2820,0.004903
,,10,1.5017,1.7410,1.2798,0.004902
,,11,1.4958,1.7371,1.2806,0.004906
,,14,1.4969,1.7276,1.2816,0.004908
,,15,1.4976,1.7224,1.2826,0.004908
,,16,1.4928,1.7213,1.2856,0.004916
,,17,1.4937,1.7218,1.2857,0.004917
,,18,1.4936,1.7256,1.2853,0.004913
,,21,1.4935,1.7236,1.2848,0.004913
,,22,1.4979,1.7275,1.2816,0.004903
,,23,1.5008,1.7296,1.2787,0.004893
,,24,1.5017,1.7316,1.2754,0.004878
,,25,1.5023,1.7266,1.2794,0.004896
,,28,1.5052,1.7211,1.2803,0.004893
,,29,1.4903,1.7167,1.2867,0.004907
,,30,1.4868,1.7180,1.2862,0.004904
,,31,1.4789,1.7167,1.2947,0.004941
,Aug,01,1.4815,1.7128,1.2975,0.004949
,,04,1.4909,1.7103,1.2876,0.004920
,,05,1.4889,1.7107,1.2886,0.004920
,,06,1.4906,1.7131,1.2872,0.004904
,,07,1.4980,1.7156,1.2842,0.004897
,,08,1.4966,1.7250,1.2837,0.004896
,,11,1.4979,1.7282,1.2834,0.004893
,,12,1.4944,1.7274,1.2862,0.004900
,,13,1.4989,1.7323,1.2830,0.004884
,,14,1.4979,1.7372,1.2799,0.004871
,,15,1.4969,1.7391,1.2837,0.004891
,,18,1.5006,1.7381,1.2822,0.004878
,,19,1.4966,1.7336,1.2842,0.004883
,,20,1.4959,1.7326,1.2860,0.004887
,,21,1.4979,1.7305,1.2862,0.004877
,,22,1.4950,1.7287,1.2899,0.004885
,,25,1.5011,1.7324,1.2822,0.004875
,,26,1.4943,1.7290,1.2855,0.004882
,,27,1.4962,1.7322,1.2872,0.004880
,,28,1.4965,1.7363,1.2854,0.004879
,,29,1.4969,1.7325,1.2835,0.004868
,Sep,01,1.5022,1.7351,1.2831,0.004870
,,02,1.5035,1.7388,1.2855,0.004879
,,03,1.4991,1.7234,1.2898,0.004891
,,04,1.5017,1.7304,1.2887,0.004884
,,05,1.5023,1.7319,1.2873,0.004876
,,08,1.5055,1.7351,1.2857,0.004871
,,09,1.5090,1.7392,1.2827,0.004861
,,10,1.5025,1.7366,1.2832,0.004867
,,11,1.5009,1.7361,1.2833,0.004861
,,12,1.5036,1.7382,1.2825,0.004860
,,15,1.5037,1.7389,1.2815,0.004858
,,16,1.5067,1.7417,1.2791,0.004849
,,17,1.5129,1.7415,1.2766,0.004841
,,18,1.5105,1.7418,1.2788,0.004849
,,19,1.5108,1.7378,1.2821,0.004859
,,22,1.5072,1.7293,1.2847,0.004865
,,23,1.5141,1.7334,1.2825,0.004855
,,24,1.5150,1.7346,1.2844,0.004863
,,25,1.5134,1.7336,1.2878,0.004876
,,26,1.5095,1.7260,1.2926,0.004897
,,29,1.5130,1.7332,1.2905,0.004886
,,30,1.5139,1.7349,1.2913,0.004887
,Oct,01,1.5154,1.7353,1.2910,0.004885
,,02,1.5118,1.7364,1.2884,0.004882
,,03,1.5123,1.7339,1.2897,0.004888
,,06,1.5149,1.7381,1.2921,0.004900
,,07,1.5107,1.7396,1.2909,0.004896
,,08,1.5057,1.7356,1.2953,0.004915
,,09,1.5070,1.7360,1.2941,0.004911
,,10,1.5023,1.7281,1.2982,0.004927
,,13,1.5073,1.7321,1.2972,0.004925
,,14,1.5033,1.7328,1.2983,0.004926
,,15,1.5064,1.7304,1.2961,0.004919
,,16,1.5095,1.7372,1.2945,0.004914
,,17,1.5139,1.7387,1.2927,0.004908
,,21,1.5064,1.7339,1.2947,0.004914
,,22,1.5064,1.7357,1.2978,0.004926
,,23,1.5069,1.7331,1.2999,0.004935
,,24,1.5081,1.7310,1.2991,0.004934
,,27,1.5091,1.7289,1.2979,0.004937
,,28,1.5100,1.7297,1.2950,0.004923
,,29,1.5074,1.7167,1.2954,0.004920
,,30,1.5059,1.7118,1.2966,0.004925
,,31,1.5037,1.7098,1.3001,0.004942
,Nov,03,1.5015,1.7105,1.3019,0.004949
,,04,1.5026,1.7132,1.3051,0.004957
,,05,1.5018,1.7020,1.3071,0.004965
,,06,1.5025,1.7057,1.3057,0.004960
,,07,1.5056,1.7118,1.3050,0.004960
,,10,1.5052,1.7126,1.3026,0.004952
,,11,1.5058,1.7157,1.3029,0.004952
,,12,1.5084,1.7119,1.3029,0.004946
,,13,1.5081,1.7080,1.3012,0.004937
,,14,1.5129,1.7088,1.3000,0.004932
,,17,1.5093,1.7106,1.3013,0.004938
,,18,1.5112,1.7141,1.3037,0.004943
,,19,1.5087,1.7114,1.3024,0.004938
,,20,1.5056,1.7060,1.3077,0.004958
,,21,1.5085,1.7112,1.3076,0.004958
,,24,1.5057,1.7124,1.3075,0.004968
,,25,1.5027,1.7091,1.3047,0.004946
,,26,1.5072,1.7159,1.3004,0.004931
,,27,1.5047,1.7192,1.2969,0.004917
,,28,1.5025,1.7162,1.2965,0.004916
,Dec,01,1.5033,1.7151,1.2963,0.004914
,,02,1.5061,1.7145,1.2971,0.004917
,,03,1.5082,1.7145,1.2960,0.004913
,,04,1.5107,1.7279,1.2961,0.004915
,,05,1.5098,1.7273,1.2961,0.004914
,,08,1.5094,1.7281,1.2957,0.004914
,,09,1.5111,1.7294,1.2975,0.004921
,,10,1.5074,1.7250,1.2965,0.004918
,,11,1.5129,1.7299,1.2940,0.004911
,,12,1.5158,1.7298,1.2918,0.004909
,,15,1.5157,1.7251,1.2917,0.004909
,,16,1.5169,1.7252,1.2907,0.004902
,,17,1.5155,1.7310,1.2909,0.004899
,,18,1.5167,1.7267,1.2920,0.004906
,,19,1.5132,1.7270,1.2910,0.004906
,,22,1.5149,1.7314,1.2929,0.004912
,,23,1.5147,1.7350,1.2862,0.004884
,,24,1.5127,1.7346,1.2833,0.004878
,,26,1.5135,1.7347,1.2845,0.004887
,,29,1.5124,1.7350,1.2846,0.004886
,,30,1.5136,1.7363,1.2857,0.004895
,,31,1.5077,1.7288,1.2841,0.004882

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Vietnamese Dong
2026,Jan,02,1.5103,1.7313,1.2838,0.004881
,,05,1.5044,1.7287,1.2886,0.004905
,,06,1.5027,1.7363,1.2806,0.004872
,,07,1.4982,1.7307,1.2807,0.004872
,,08,1.4991,1.7279,1.2835,0.004886
,,09,1.4981,1.7271,1.2853,0.004893
,,12,1.4996,1.7268,1.2867,0.004899
,,13,1.4997,1.7328,1.2864,0.004896
,,14,1.4998,1.7314,1.2877,0.004899
,,15,1.4992,1.7297,1.2881,0.004903
,,16,1.4949,1.7238,1.2873,0.004900
,,19,1.4953,1.7221,1.2862,0.004896
,,20,1.4980,1.7267,1.2852,0.004893
,,21,1.5048,1.7258,1.2841,0.004888
,,22,1.5008,1.7246,1.2839,0.004887
,,23,1.5028,1.7264,1.2797,0.004874
,,26,1.5059,1.7342,1.2696,0.004849
,,27,1.5082,1.7370,1.2694,0.004858
,,28,1.5130,1.7404,1.2611,0.004833
,,29,1.5127,1.7457,1.2620,0.004843
,,30,1.5100,1.7424,1.2669,0.004891
,Feb,02,1.5090,1.7403,1.2718,0.004895
,,03,1.5001,1.7383,1.2701,0.004880
,,04,1.5033,1.7420,1.2711,0.004888
,,05,1.5022,1.7362,1.2743,0.004907
,,06,1.5020,1.7260,1.2742,0.004908
,,09,1.5027,1.7290,1.2714,0.004901
,,10,1.5067,1.7311,1.2649,0.004886
,,11,1.5046,1.7262,1.2632,0.004869
,,12,1.4977,1.7201,1.2618,0.004861
,,13,1.4988,1.7196,1.2630,0.004862
,,16,1.4972,1.7211,1.2616,0.004858
,,19,1.4948,1.7102,1.2676,0.004881
,,20,1.4924,1.7064,1.2693,0.004888
,,23,1.4951,1.7095,1.2646,0.004860
,,24,1.4922,1.7093,1.2674,0.004845
,,25,1.4919,1.7101,1.2655,0.004843
,,26,1.4929,1.7126,1.2633,0.004840
,,27,1.4916,1.7048,1.2636,0.004851
,Mar,02,1.4940,1.7043,1.2674,0.004843
,,03,1.4877,1.7052,1.2726,0.004861
,,04,1.4829,1.7040,1.2774,0.004873
,,05,1.4825,1.7032,1.2768,0.004869
,,06,1.4847,1.7084,1.2777,0.004868
,,09,1.4780,1.7063,1.2833,0.004881
,,10,1.4813,1.7119,1.2761,0.004861
,,11,1.4785,1.7100,1.2713,0.004844
,,12,1.4726,1.7065,1.2762,0.004857
,,13,1.4718,1.7067,1.2789,0.004864
,,16,1.4670,1.6989,1.2812,0.004873
,,17,1.4699,1.7013,1.2790,0.004866
,,18,1.4727,1.7055,1.2765,0.004853
,,19,1.4717,1.7034,1.2826,0.004873
,,20,1.4789,1.7152,1.2797,0.004864
,,23,1.4815,1.7084,1.2829,0.004873
,,24,1.4816,1.7139,1.2792,0.004853
,,25,1.4838,1.7133,1.2789,0.004853
,,26,1.4831,1.7134,1.2821,0.004867
,,27,1.4832,1.7148,1.2854,0.004879
,,30,1.4828,1.7090,1.2876,0.004889
,,31,1.4811,1.7045,1.2913,0.004902
,Apr,01,1.4867,1.7018,1.2861,0.004883
,,02,1.4855,1.7038,1.2872,0.004886
,,06,1.4823,1.6995,1.2868,0.004886
,,07,1.4830,1.7003,1.2857,0.004881
,,08,1.4885,1.7090,1.2752,0.004843
,,09,1.4868,1.7077,1.2748,0.004843
,,10,1.4902,1.7105,1.2742,0.004838
,,13,1.4914,1.7105,1.2761,0.004844
,,14,1.4981,1.7210,1.2732,0.004835
,,15,1.4984,1.7244,1.2712,0.004828
,,16,1.4997,1.7242,1.2696,0.004822
,,17,1.4997,1.7215,1.2727,0.004832
,,20,1.4958,1.7178,1.2719,0.004830
,,21,1.4971,1.7186,1.2714,0.004829
,,22,1.4952,1.7204,1.2737,0.004839
,,23,1.4934,1.7219,1.2769,0.004850
,,24,1.4936,1.7214,1.2790,0.004856
,,27,1.4949,1.7262,1.2745,0.004835
,,28,1.4929,1.7246,1.2746,0.004838
,,29,1.4947,1.7252,1.2769,0.004845
,,30,1.4944,1.7262,1.2810,0.004860
,May,04,1.4937,1.7305,1.2726,0.004831
,,05,1.4925,1.7272,1.2774,0.004849
,,06,1.4926,1.7280,1.2739,0.004839
,,07,1.4895,1.7233,1.2679,0.004818
,,08,1.4884,1.7201,1.2689,0.004823
,,11,1.4924,1.7250,1.2694,0.004822
,,12,1.4943,1.7265,1.2710,0.004827
,,13,1.4926,1.7219,1.2720,0.004828
,,14,1.4911,1.7221,1.2731,0.004831
,,15,1.4881,1.7083,1.2772,0.004845
,,18,1.4888,1.7056,1.2811,0.004860
,,19,1.4900,1.7169,1.2800,0.004856
,,20,1.4870,1.7174,1.2815,0.004861
,,21,1.4866,1.7179,1.2794,0.004852
,,22,1.4849,1.7170,1.2788,0.004853
,,25,1.4864,1.7212,1.2773,0.004845
,,26,1.4860,1.7226,1.2771,0.004846
,,28,1.4841,1.7123,1.2808,0.004865
,,29,1.4864,1.7157,1.2772,0.004852
,Jun,02,1.4872,1.7204,1.2784,0.004855
,,03,1.4882,1.7231,1.2798,0.004858
,,04,1.4897,1.7230,1.2836,0.004874
,,05,1.4931,1.7259,1.2854,0.004881
,,08,1.4882,1.7216,1.2905,0.004898
,,09,1.4853,1.7185,1.2874,0.004888
,,10,1.4868,1.7234,1.2872,0.004891
,,11,1.4861,1.7222,1.2873,0.004891
,,12,1.4864,1.7230,1.2846,0.004878
,,15,1.4875,1.7231,1.2818,0.004875
,,16,1.4864,1.7194,1.2828,0.004880
,,17,1.4881,1.7209,1.2817,0.004870
,,18,1.4829,1.7136,1.2868,0.004889
,,19,1.4787,1.7042,1.2923,0.004908
,,22,1.4808,1.7078,1.2926,0.004912
,,23,1.4785,1.7138,1.2936,0.004915
,,24,1.4748,1.7124,1.2974,0.004928
,,25,1.4743,1.7092,1.2967,0.004924
,,26,1.4743,1.7111,1.2965,0.004927
,,29,1.4736,1.7084,1.2943,0.004922
,,30,1.4752,1.7127,1.2943,0.004920
,Jul,01,1.4784,1.7157,1.2964,0.004926
,,02,1.4741,1.7207,1.2950,0.004925
,,03,1.4778,1.7260,1.2917,0.004911
,,06,1.4776,1.7246,1.2926,0.004915
,,07,1.4777,1.7301,1.2921,0.004913
,,08,1.4755,1.7263,1.2928,0.004916
,,09,1.4775,1.7321,1.2931,0.004917
,,10,1.4777,1.7345,1.2907,0.004910
,,13,1.4753,1.7314,1.2942,0.004928
,,14,1.4737,1.7281,1.2935,0.004928
,,15,1.4758,1.7294,1.2902,0.004913
,,16,1.4774,1.7437,1.2885,0.004907
,,17,1.4763,1.7377,1.2905,0.004913
,,20,1.4767,1.7372,1.2905,0.004908
,,21,1.4727,1.7339,1.2905,0.004904
,,22,1.4728,1.7278,1.2911,0.004902
,,23,1.4735,1.7260,1.2893,0.004899
,,24,1.4708,1.7204,1.2922,0.004909
,,27,1.4710,1.7225,1.2900,0.004902

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."
