id,symbol,filename,fiscal_year,status,detail
16,Q5T.SI,16_Q5T.SI_Far-East-Hospitality-Trust_FY2023.pdf,2023,DOWNLOADED,10.9 MB
16,Q5T.SI,16_Q5T.SI_Far-East-Hospitality-Trust_FY2024.pdf,2024,DOWNLOADED,14.8 MB
16,Q5T.SI,16_Q5T.SI_Far-East-Hospitality-Trust_FY2025.pdf,2025,DOWNLOADED,5.3 MB
17,AW9U.SI,17_AW9U.SI_First-REIT_FY2023.pdf,2023,DOWNLOADED,7.6 MB
17,AW9U.SI,17_AW9U.SI_First-REIT_FY2024.pdf,2024,DOWNLOADED,4.4 MB
17,AW9U.SI,17_AW9U.SI_First-REIT_FY2025.pdf,2025,DOWNLOADED,4.6 MB
18,J69U.SI,18_J69U.SI_Frasers-Centrepoint-Trust_FY2023.pdf,2023,DOWNLOADED,8.6 MB
18,J69U.SI,18_J69U.SI_Frasers-Centrepoint-Trust_FY2024.pdf,2024,DOWNLOADED,7.3 MB
18,J69U.SI,18_J69U.SI_Frasers-Centrepoint-Trust_FY2025.pdf,2025,DOWNLOADED,6.2 MB
19,BUOU.SI,19_BUOU.SI_Frasers-Logistics-and-Commercial-Trust_FY2023.pdf,2023,DOWNLOADED,8.6 MB
19,BUOU.SI,19_BUOU.SI_Frasers-Logistics-and-Commercial-Trust_FY2024.pdf,2024,DOWNLOADED,8.2 MB
19,BUOU.SI,19_BUOU.SI_Frasers-Logistics-and-Commercial-Trust_FY2025.pdf,2025,DOWNLOADED,7.9 MB
20,UD1U.SI,20_UD1U.SI_IREIT-Global_FY2023.pdf,2023,DOWNLOADED,12.4 MB
20,UD1U.SI,20_UD1U.SI_IREIT-Global_FY2024.pdf,2024,DOWNLOADED,9.4 MB
20,UD1U.SI,20_UD1U.SI_IREIT-Global_FY2025.pdf,2025,DOWNLOADED,10.0 MB
21,AJBU.SI,21_AJBU.SI_Keppel-DC-REIT_FY2023.pdf,2023,DOWNLOADED,6.7 MB
21,AJBU.SI,21_AJBU.SI_Keppel-DC-REIT_FY2024.pdf,2024,DOWNLOADED,8.5 MB
21,AJBU.SI,21_AJBU.SI_Keppel-DC-REIT_FY2025.pdf,2025,DOWNLOADED,18.0 MB
22,CMOU.SI,22_CMOU.SI_KORE-US-REIT_FY2023.pdf,2023,DOWNLOADED,13.3 MB
22,CMOU.SI,22_CMOU.SI_KORE-US-REIT_FY2024.pdf,2024,DOWNLOADED,20.1 MB
22,CMOU.SI,22_CMOU.SI_KORE-US-REIT_FY2025.pdf,2025,DOWNLOADED,20.7 MB
23,K71U.SI,23_K71U.SI_Keppel-REIT_FY2023.pdf,2023,DOWNLOADED,13.4 MB
23,K71U.SI,23_K71U.SI_Keppel-REIT_FY2024.pdf,2024,DOWNLOADED,13.5 MB
23,K71U.SI,23_K71U.SI_Keppel-REIT_FY2025.pdf,2025,DOWNLOADED,17.3 MB
24,JYEU.SI,24_JYEU.SI_Lendlease-Global-Commercial-REIT_FY2023.pdf,2023,DOWNLOADED,8.2 MB
24,JYEU.SI,24_JYEU.SI_Lendlease-Global-Commercial-REIT_FY2024.pdf,2024,DOWNLOADED,5.6 MB
24,JYEU.SI,24_JYEU.SI_Lendlease-Global-Commercial-REIT_FY2025.pdf,2025,DOWNLOADED,8.3 MB
25,D5IU.SI,25_D5IU.SI_Landmark-REIT_FY2023.pdf,2023,DOWNLOADED,7.8 MB
25,D5IU.SI,25_D5IU.SI_Landmark-REIT_FY2024.pdf,2024,DOWNLOADED,8.6 MB
25,D5IU.SI,,2025,NOT_PUBLISHED,entity not listed / FY not yet released
26,BTOU.SI,26_BTOU.SI_Manulife-US-REIT_FY2023.pdf,2023,DOWNLOADED,11.0 MB
26,BTOU.SI,26_BTOU.SI_Manulife-US-REIT_FY2024.pdf,2024,DOWNLOADED,11.0 MB
26,BTOU.SI,26_BTOU.SI_Manulife-US-REIT_FY2025.pdf,2025,DOWNLOADED,9.1 MB
27,ME8U.SI,27_ME8U.SI_Mapletree-Industrial-Trust_FY2023.pdf,2023,DOWNLOADED,8.3 MB
27,ME8U.SI,27_ME8U.SI_Mapletree-Industrial-Trust_FY2024.pdf,2024,DOWNLOADED,8.2 MB
27,ME8U.SI,27_ME8U.SI_Mapletree-Industrial-Trust_FY2025.pdf,2025,DOWNLOADED,3.6 MB
28,M44U.SI,28_M44U.SI_Mapletree-Logistics-Trust_FY2023.pdf,2023,DOWNLOADED,8.3 MB
28,M44U.SI,28_M44U.SI_Mapletree-Logistics-Trust_FY2024.pdf,2024,DOWNLOADED,9.8 MB
28,M44U.SI,28_M44U.SI_Mapletree-Logistics-Trust_FY2025.pdf,2025,DOWNLOADED,8.1 MB
29,N2IU.SI,,2023,MISSING,MPACT FY2022/23 AR PDF removed in IR site migration; SGX hash not indexed
29,N2IU.SI,29_N2IU.SI_Mapletree-Pan-Asia-Commercial-Trust_FY2024.pdf,2024,DOWNLOADED,7.7 MB
29,N2IU.SI,29_N2IU.SI_Mapletree-Pan-Asia-Commercial-Trust_FY2025.pdf,2025,DOWNLOADED,10.1 MB
30,NTDU.SI,,2023,NOT_PUBLISHED,entity not listed / FY not yet released
30,NTDU.SI,,2024,NOT_PUBLISHED,entity not listed / FY not yet released
30,NTDU.SI,,2025,NOT_PUBLISHED,entity not listed / FY not yet released
31,TS0U.SI,31_TS0U.SI_OUE-REIT_FY2023.pdf,2023,DOWNLOADED,12.2 MB
31,TS0U.SI,31_TS0U.SI_OUE-REIT_FY2024.pdf,2024,DOWNLOADED,6.8 MB
31,TS0U.SI,31_TS0U.SI_OUE-REIT_FY2025.pdf,2025,DOWNLOADED,6.0 MB
32,C2PU.SI,32_C2PU.SI_Parkway-Life-REIT_FY2023.pdf,2023,DOWNLOADED,13.3 MB
32,C2PU.SI,32_C2PU.SI_Parkway-Life-REIT_FY2024.pdf,2024,DOWNLOADED,13.6 MB
32,C2PU.SI,32_C2PU.SI_Parkway-Life-REIT_FY2025.pdf,2025,DOWNLOADED,10.9 MB
33,OXMU.SI,33_OXMU.SI_Prime-US-REIT_FY2023.pdf,2023,DOWNLOADED,20.9 MB
33,OXMU.SI,33_OXMU.SI_Prime-US-REIT_FY2024.pdf,2024,DOWNLOADED,12.6 MB
33,OXMU.SI,33_OXMU.SI_Prime-US-REIT_FY2025.pdf,2025,DOWNLOADED,19.6 MB
34,CRPU.SI,34_CRPU.SI_Sasseur-REIT_FY2023.pdf,2023,DOWNLOADED,10.0 MB
34,CRPU.SI,34_CRPU.SI_Sasseur-REIT_FY2024.pdf,2024,DOWNLOADED,4.2 MB
34,CRPU.SI,34_CRPU.SI_Sasseur-REIT_FY2025.pdf,2025,DOWNLOADED,13.5 MB
35,P40U.SI,35_P40U.SI_Starhill-Global-REIT_FY2023.pdf,2023,DOWNLOADED,9.2 MB
35,P40U.SI,35_P40U.SI_Starhill-Global-REIT_FY2024.pdf,2024,DOWNLOADED,13.6 MB
35,P40U.SI,35_P40U.SI_Starhill-Global-REIT_FY2025.pdf,2025,DOWNLOADED,15.9 MB
36,SET.SI,36_SET.SI_Stoneweg-Europe-Stapled-Trust_FY2023.pdf,2023,DOWNLOADED,7.5 MB
36,SET.SI,36_SET.SI_Stoneweg-Europe-Stapled-Trust_FY2024.pdf,2024,DOWNLOADED,16.0 MB
36,SET.SI,36_SET.SI_Stoneweg-Europe-Stapled-Trust_FY2025.pdf,2025,DOWNLOADED,16.8 MB
37,T82U.SI,37_T82U.SI_Suntec-REIT_FY2023.pdf,2023,DOWNLOADED,10.7 MB
37,T82U.SI,37_T82U.SI_Suntec-REIT_FY2024.pdf,2024,DOWNLOADED,12.2 MB
37,T82U.SI,37_T82U.SI_Suntec-REIT_FY2025.pdf,2025,DOWNLOADED,12.6 MB
38,UIBU.SI,,2023,NOT_PUBLISHED,entity not listed / FY not yet released
38,UIBU.SI,,2024,NOT_PUBLISHED,entity not listed / FY not yet released
38,UIBU.SI,,2025,NOT_PUBLISHED,entity not listed / FY not yet released
39,ODBU.SI,39_ODBU.SI_United-Hampshire-US-REIT_FY2023.pdf,2023,DOWNLOADED,7.2 MB
39,ODBU.SI,39_ODBU.SI_United-Hampshire-US-REIT_FY2024.pdf,2024,DOWNLOADED,7.2 MB
39,ODBU.SI,39_ODBU.SI_United-Hampshire-US-REIT_FY2025.pdf,2025,DOWNLOADED,16.4 MB
